id_receta,nombre_receta,ingrediente,ingrediente_original,ingrediente_homologado,cantidad,unidad,cadena,producto_profeco,precio_kg_litro_mxn,unidad_precio,costo_ingrediente_mxn,tipo_conversion,ingredientes_requeridos,precio_total_receta_mxn,ingredientes_con_precio
13790,Quick Bowl-O-Noodles,chopped onion,1/4  cup   chopped onion,onion,40.0,gramos,Walmart,Cebolla,37.5,kg,1.5,densidad_aproximada,6,22.01,6
13790,Quick Bowl-O-Noodles,frozen peas carrot,1/4  cup    frozen peas and carrot,carrot,32.0,gramos,Walmart,Zanahoria,18.0,kg,0.58,densidad_aproximada,6,22.01,6
13790,Quick Bowl-O-Noodles,garlic clove,1/2      garlic clove,garlic,1.5,gramos,Walmart,Ajo,603.9,kg,0.91,peso_por_diente_aproximado,6,22.01,6
13790,Quick Bowl-O-Noodles,raw bacon,"2   slices   raw bacon, coarsely chopped",bacon,16.0,gramos,Walmart,Tocino Ahumado,480.4,kg,7.69,peso_por_rebanada_aproximado,6,22.01,6
13790,Quick Bowl-O-Noodles,water,1   cup    water,water,0.2366,litros,Walmart,Agua Sin Gas,10.5,litro,2.48,volumen,6,22.01,6
15148,Corn and  Broccoli Bake,Chicken Biscuit crackers,"1 (8   ounce) box   Chicken In A Biscuit crackers, crushed",chicken,226.7962,gramos,Chedraui,Carne Pollo,94.0,kg,21.32,directa,5,160.9,5
15148,Corn and  Broccoli Bake,butter margarine,"1/2  cup    butter or 1/2  cup    margarine, melted",butter,113.5,gramos,Chedraui,Mantequilla,273.7,kg,31.06,densidad_aproximada,5,160.9,5
15148,Corn and  Broccoli Bake,cream,1 (14 3/4  ounce) can   cream-style corn,cream,418.1555,gramos,Chedraui,Crema,110.3,kg,46.12,directa,5,160.9,5
15148,Corn and  Broccoli Bake,frozen chopped broccoli,"1 (10   ounce) package   frozen chopped broccoli, thawed",broccoli,283.4952,gramos,Chedraui,Brócoli,43.2,kg,12.25,directa,5,160.9,5
15148,Corn and  Broccoli Bake,whole kernel corn,"1 (15 1/4  ounce) can   whole kernel corn, drained",whole kernel corn,432.3302,gramos,Chedraui,Granos de Elote,116.0,kg,50.15,directa,5,160.9,5
15148,Corn and  Broccoli Bake,Chicken Biscuit crackers,"1 (8   ounce) box   Chicken In A Biscuit crackers, crushed",chicken,226.7962,gramos,Soriana,Carne Pollo,86.3,kg,19.57,directa,5,169.25,5
15148,Corn and  Broccoli Bake,butter margarine,"1/2  cup    butter or 1/2  cup    margarine, melted",butter,113.5,gramos,Soriana,Mantequilla,288.8,kg,32.78,densidad_aproximada,5,169.25,5
15148,Corn and  Broccoli Bake,cream,1 (14 3/4  ounce) can   cream-style corn,cream,418.1555,gramos,Soriana,Crema,117.6,kg,49.18,directa,5,169.25,5
15148,Corn and  Broccoli Bake,frozen chopped broccoli,"1 (10   ounce) package   frozen chopped broccoli, thawed",broccoli,283.4952,gramos,Soriana,Brócoli,56.0,kg,15.88,directa,5,169.25,5
15148,Corn and  Broccoli Bake,whole kernel corn,"1 (15 1/4  ounce) can   whole kernel corn, drained",whole kernel corn,432.3302,gramos,Soriana,Granos de Elote,119.9,kg,51.84,directa,5,169.25,5
15148,Corn and  Broccoli Bake,Chicken Biscuit crackers,"1 (8   ounce) box   Chicken In A Biscuit crackers, crushed",chicken,226.7962,gramos,Walmart,Carne Pollo,104.0,kg,23.59,directa,5,156.04,5
15148,Corn and  Broccoli Bake,butter margarine,"1/2  cup    butter or 1/2  cup    margarine, melted",butter,113.5,gramos,Walmart,Mantequilla,288.9,kg,32.79,densidad_aproximada,5,156.04,5
15148,Corn and  Broccoli Bake,cream,1 (14 3/4  ounce) can   cream-style corn,cream,418.1555,gramos,Walmart,Crema,110.3,kg,46.12,directa,5,156.04,5
15148,Corn and  Broccoli Bake,frozen chopped broccoli,"1 (10   ounce) package   frozen chopped broccoli, thawed",broccoli,283.4952,gramos,Walmart,Brócoli,56.2,kg,15.93,directa,5,156.04,5
15148,Corn and  Broccoli Bake,whole kernel corn,"1 (15 1/4  ounce) can   whole kernel corn, drained",whole kernel corn,432.3302,gramos,Walmart,Granos de Elote,87.0,kg,37.61,directa,5,156.04,5
16001,Granny Hampton's English Shortbread,all - purpose flour,"2   cups    all-purpose flour, sifted twice",flour,240.0,gramos,Chedraui,Harina de Trigo,19.5,kg,4.68,densidad_aproximada,3,69.57,3
